Team,Concept Name,Description,Team
1,Slow down the vehicle with one button,One single button to slow down the vehicle while still in autonomous driving mode,1
1,Vehicle to vehicle communication,Allow people in different cars to communicate with each other,1
1,Comfortable light in car,User comfortable light color in car (soft),1
1,Share riding with drivers,Share the ride with someone who can drive to take over the control of the vehicle when necessary,1
1,Share riding with people/family,Have someone sit in the autonomous driving vehicle with them in the first couple times,1
1,Photo taking with one button,One single button to take a photo in car and outside the car,1
1,Product go first,Have autonomous driving vehicles deliver products first,1
1,Real time monitoring system,Have a real-time camera around the vehicle all the time,1
1,Improved monitoring system,Attach a drone to the vehicle to capture more on-road situation,1
1,Convenience feature,Equip the vehicle with tables for working or eating,1
1,Remote control system,"Users can control the car from any distance by phone. Such as ""call"" the car to pick them up at their location",1
1,measure sensor,measure distance between own car and other cars_traffic lights or other obstacle,1
1,Date storage system,"Autonomous driving data can be uploaded into the cloud, so company can detect the safety of autonomous car from these data",1
1,Fold chair ,The form of chair can be changed from normal back-rest to deck chair and bed,1
1,Sport pedal ,There are two pedals under the steering wheel. Drivers can use these to exercise and the energy can be converted into electrical power ,1
1,Controllable window,The color and transparency of windows can be changed and the image of computer screen can be displayed on windows ,1
1,Driving map,Show driving routine and real building feature around path. Highlight different function in different color,1
1,Car computer ,The screen of computer is installed at the steering wheel. Car driver can either use it by voice command or finger,1
1,Voice control,Users can control the car with their voice,1
1,Alert system ,"If there is some problem with the car, there will be an alert and the car cannot be started",1
1,Intelligent assistant system,The robotic embedded in the vehicle system can help driver execute related actions,1
1,Automated Emergency calling system,The car will contact police department and other related department when the passenger has  any emergency,1
1,Interior roof screen,"When the driver lay on the seat, he or she can still see the screen",1
1,Vehicle flexible interior floor,The floor of interior is embedded with chairs,1
1,Disable special seat mechanism,Can help disables get on the car easily,1
1,Self Parking service,The car can self park,1
1,Touch screen with personal laptop connection,The screen on the car can connect into personal laptop,1
1,Movable screen mechanism,The screen on the car can change the angle,1
1,Traffic light warning system,The signal on the dashboard can identify whether the care sensed the traffic light,1
1,Traffic condition warning,This warning signal can tell the driver the traffic situation ahead,1
1,Digitalization integration system,"The vehicle can connect to user's phone, laptop and other electronics device",1
1,Obstacle warning system,The car will warn the user for the unavoidable obstacles,1
1,Emergency Warning,The car will warn the user to be prepared for the unavoidable accident,1
1,Low Battery Warning,The car will warn the user for the low battery,1
1,Sensor Failure Warning,The car will warn the user for the malfunction of the sensors,1
1,Maintenance warning,The car will warn the user for the necessary maintenance ,1
1,Flexible seating mechanism,The seats of the car can change the shape to better fit the users,1
1,Projector Screen,The car can project the laptop screen at certain area,1
1,Smart HVAC system,The car will turn on or off the HVAC before the user step into the car,1
1,Recording system,The car will save all the environment data into center computer,1
2,Game Controller,Provides control of the vehicle using a typical video game controller,2
2,Internal Jet Thrusters,"A spherical vehicle could have tunnels with thrusters hidden inside, so they do not stick out",2
2,Bubble Dome FOV,The front end of the vehicle will have a light bulb like shape to allow more than 180 degree field of view,2
2,BB8 Tail,The main payload bus will be a sphere with an attached tail that helps reduce the drag.  The tail will be attached to the sphere with a BB8 like mechanism that allows it to always be pointing in the direction of water flow,2
2,Rescue Sub,The S2UV can have handles on it that allows a diver to grab on a be pulled to the surface. It can be used for search and rescue,2
2,Tethered Antenna,A tethered antenna device could be placed at the bottom of an area of interest and then communicate directly to a fleet of S2UVs.  The communication will go from the surface to the tethered antenna to the fleet.,2
2,VR Camera Control,The user could wear VR goggles that allow them to control which way the camera is facing based on the way they move their head.,2
2,Carrying Case Chair,The portable carrying case that holds the S2UV could be transformed into a chair that the user could use to sit in as the fly the device underwater.,2
2,Drying Rack,The S2UV kit could come with an accessory that holds up the vehicle after a mission to allow it to dry off before transit.,2
2,Object avoidance,The vehicle can have sensors that prevent it from running into objects during autonomous mode or when a user is actively controlling it.,2
2,Teamwork,A fleet of S2UVs could work together to transport heavy objects,2
2,Quiddich Flight practice,"Under water hoops could be used to create a ""racetrack"" for people to perform a course for fun or races",2
2,Flying Fish,The vehicle could have detachable wings that allow it to do above water maneuvers or glides like a flying fish. Could get cool footage entering and exiting the water.,2
2,Drill,The vehicle could have a drill on the front that allows it to drill into the ocean floor and collect small samples.,2
2,Underwater Laser Tag,A group of people could play a game of underwater laser tag,2
2,"""Treasure"" Hunt","A little flag or beacon could be hidden somewhere on the bottom of the water and a group of users can race to try to find it.  While playing, they could be passively mapping the ocean floor.",2
2,Floatable/Sinkable Batteries,A fully charged battery replacement could be thrown in the water and it would sink down and be intercepted by the S2UV.  its used up battery could be detached and it would float up to the surface to be retrieved later. ,2
2,Fish Nets,A team of S2UVs could be used to first sense a lot of fish and then catch them by pulling a net around them. They would then bring it to the surface. ,2
2,Diver's Oxygen Camel,The S2UV could carrying divers supplies like additional oxygen tanks or lights.,2
2,Shark Tracker,"The S2UV could not only follow people, but also larger fish.  It could track their movement, record their behavior on video.",2
2,Underwater BB8,"Many of our potential customers need the underwater vehicle to be agile. This vehicle has ball-shape body which can roll in any direction at the bottom of the sea, and it can easily roll over small obstacles. The head however maintains steady, and is the power source that comes with a propeller. The head can also hold other equipment",2
2,“Easy Does It”,"A very simple but cheap underwater carrier that could fit the customers’ need for low cost and could carry whatever customers want to carry, such as iphone, camera or other equipment in the waterproof cover",2
2,“Pseudo Fish”,"The vehicle can move as fast and agile as a fish, because his mobility systems are just like that of a fish. The fins can flip back and forth, and the body and tail can wiggle. The head can hold small devices like light or camera.Fisherman or marine biologist can use this to inspect real fist in a peaceful manner that does not disturb them",2
2,Underwater Network Mini-drones,This drones travel relatively fast and has the ability to maintain in a position. They can talk to each in order to create a communication network. The military could use these drones to discover hostile boats or submarines. Fishermen can use them to trace done fish or farm them,2
2,Underwater “AfterBurner”,The power system for this prototype is to use compressed gas instead of a propeller. This design would provide some users the desired speed under the water. Actually the power system could be a real afterburner if we could somehow keep the fuel burning in water,2
2,Underwater Film Wizard,It can follow people underwater and film people as they do other activities. It can automatically adjust the camera’s focus to fit the people in the screen. It also has handle bars so that the divers can grab the robot and use it as a camera to film.,2
2,Super Durable RoundTai,Its round tail ( which works like sail) that can capture the current and allows it to travel with water without spending its own energy. The solar panel can also produce additional power when the sun is up. The onboard satellite receiver can receive control signal from afar,2
2,Double Eye Follower,A robot that can come in close range with people. It has no exposed propellers. Instead It is powered by gas but not a lot of It. It travels slow and has devices that interact with people. The robot uses two eyes to accurately locate and follow people just a human.Swimmers can use this to help them swim. Kids can use this for fun,2
2,“Underwater Spidy”,"The robot has multiple holes in his body from which cables can be launched to suck onto external objects such as a rock, and the robot then winches the cable. While doing that, the robot propels himself forward.",2
2,“The Gripper”,"A worker robot that has two grippers. Potentially, it can hold onto the torch for welding to help welders to work under the water. It can also help scientists to take samples easily.",2
2,""" fish farmer""","A robot that attracts large fish body, and captures them with a net and drag them to a nearby fishboat",2
2,Underwater  tourist capsule,The robot traps breathable air inside and is only suitable for a single person. It has a transparent glass that allows the tourist to view the beautiful underwater scenery. It is also controllable by the tourist.,2
2,Underwater mermaid tail,"A robotic tail that attaches onto a diver, so he/she can move as agile as a fish",2
2,Underwater diving machine,a diver can grab onto this machine and this machine can go quickly down the water. Thus diving can be made simple,2
2,Underwater cleaner,"a robot that can recognize foreign object/ trash, and it will remove it out of the sea",2
2,autonomous explorer,"a super long range robot that tries to find gold, sunken ships, oil or any valuables autonomously",2
2,underwater rescuer,"a robt that is equipped with drills, torch, blades that cut through anything to rescue trapped fish or human",2
2,Underwater builder,"human construction workers would have a hard time working under the water, but robots can do the job., so we can build houses under the water",2
2,Underwater energy farmer,A robot that can farm solar energy and current energy at the same time and send this energy to human in the land,2
2,Underwater seaweed farmer,an autonomous robot that farms seaweed automatically and harvest it for humans,2
2,Rubber seal ring,The rubber seal ring is used to fully seal the fuselage when the cap is added on (waterproof).,2
2,Package,"The package consists of camera lens, light, gripper, and so on for users to build the vehicle as they want (customization).",2
2,Bladder,The bladder will open and be blown up automatically to drag the vehicle to the surface of water if it runs out of power.,2
2,Round edge,No sharp edge of the vehicle's outshape design to keep safe underwater when divers are using it to record videos.,2
2,Following function,"The vehicle will follow divers underwater by wirelessly connected to the watch they wear, which is used to take good videos for divers.",2
2,Constant temperature system,The constant temperature system is used to maintain constant temperature for the electronic devices to work well in extreme environment.,2
2,Automatic recharger,The vehicle will automatically go to recharger under boat to do recharging when running out power.,2
2,Infrared obstacle avoidance system,The infrared obstacle avoidance system uses infrared sensor to help the vehicle avoid rocks or other obstacles underwater.,2
2,Two thrusters mounted,"Two thrusters are mounted symmetrically on the tail of the torpedo-shape fuselage of the vehicle to perform translational movement, which will induce less turbulence that affects the forward movement.",2
2,Vehicle control console,The hand-held vehicle control console is used to wirelessly control the vehicle underwater (bluetooth control).,2
2,Soil sample collector,The gripper of the vehicle can collect the soil sample underwater for marine biologist to study.,2
2,Micro camera releaser,The releaser installed on the vehicle will release micro cameras that will be swallowed by whales at the right moment for marine biologist to study the  digestion processes of whales.,2
2,Fish food spreading machine,The fish food spreading machine can attract the fish to the boat on the surface of water by spreading fish food simultaneously,2
2,Underwater thermal detector,"The underwater thermal detector installed on the vehicle will detect and record the temperature wherever the vehicle goes, and plot the temperature contour automatically.",2
2,Oxygen generator,The oxygen generator will consistently generate oxygen for divers when the vehicle is following them.,2
2,Auto-cleaner and dryer accessory,The vehicle can be cleaned and dried automatically in an additional accessory after being taken out of water.,2
2,Five colors of outlook,"The outlook of the vehicle will be designed into five different colors, such as silver, gold, rose gold, black, and jet black to satisfy different color preferences of users.",2
2,Fast charging,The battery of the vehicle is designed to be fast charging to save more time.,2
2,Bionic ultrasonic emitter,The bionic ultrasonic emitter installed on the vehicle will emit ultrasonic of dolphins to help them mate.,2
2,Floating garbage salvage device,The floating garbage salvage device will collect the floating garbage on the surface of the water for people.,2
2,Autonomous back,The S2UV can autonomously find its way back even when communication fails.,2
2,Elements bracket,The vehicle can have brackets for various things to be attached,2
2,PS4 controller,The vehicle can be controlled by a PS4 controller,2
2,S2UV Camera Bracket,The vehicle can have brackets like GoPros for cameras,2
2,Remote Watch,A smartwatch could be paired with the vehicle that can control it when the user is underwater.,2
2,S2UV storage,A box to carrying the S2UV and equipment,2
2,Wireless Charger,The vehicle could have wireless charging like phones. It could have a little stand that holds the vehicle and charges it.,2
2,S2UV Glasses,VR could be used with the camera,2
2,Big Fish detector,The device could detect and escape big fish that seem like they are going to attach the vehicle. It will avoid danger,2
2,Ballast space,"In order to be stable and change the depth of the vehicle, the S2UV could have ballast tanks like submarines to release air and change the buoyancy",2
3,Impact Security Belt,"A belt for children with an impact detection to notify the parents when children have fallen badly or lightly, as well as monitoring the angle of fall and count of number of falls",3
3,Speech Capturing Necklace,"A necklace that has a microphone attached and has the capability to differ distinct words said by children, from random letters / sounds, giving the ability to monitor language progression",3
3,"Light Indicator ""Learn to Walk"" Shoes","An attachment for children’s feet that senses their steps, and displays LED patterns at a distance or under them to motivate them to pursue next steps, and aid in their process or learning to walk",3
3,Child Smart Shirt,"A clear indicative shirt with embedded audio sensors and mini LEDs that adjust based on how much the child is yelling, as to give a clear indicator of the children’s behavior or if something is wrong based on their frequency of yelling / makings sounds.",3
3,Tap Alert Watch,"A simple watch that allows toddlers to call their parents by simply tapping or banging on their wrist watch, this would have attractive lights / sounds to motivate the infant to do so",3
3,Smart Pacifier,"A regular pacifier with flex sensors that activate LED and sound outputs, further distracting and calming the toddler when needed.",3
3,Smart Diaper,"A reusable diaper attachment that senses strain from diaper, and changes in weight cause the strain measurement to trigger and hence detect different cases of diaper change.",3
3,Gesture & Mood Bracelet,"A bracelet that allows infants to use their hand gestures to express moods, for example a lot of movement and audio could trigger a signal for parents to know their child is in despair",3
3,Creative Drummer,"A pressure sensing glove featuring a wrist band that activates sound and light feedback whenever the child hits something, as if he is playing percussion.",3
3,Walkie-Talkie Child Watch,"An interactive wrist walkie-talkie communicator, that also allows to send messages from gestures of the child. This design is aimed for children that can already communicate clear words to their parents through simply pressing a button and speaking",3
3,Interactive Wearable Tattoo,"A wearable screen device for kids that can be drawn on, used to send messages, and can sense the child’s mood through heart rate analysis to notify the parent of extreme anxiety or fear.",3
3,Jewelry Trackers,"Jewelry trackers that primarily track the wearer’s location. Would have some sort of button to press in emergency to notify parent, and potentially light up/sound an alarm in this instance. Necklace could have a camera as well, to take pictures or video of immediate threats.",3
3,Hair Clip Trackers,"Hair clips that primarily track the wearer’s location. Would have some sort of button to press in emergency to notify parent, and potentially light up/sound an alarm in this instance.",3
3,Kid's Smartwatch,A watch device to teach children to tell time as well as allow (limited) communication with their parents. Would have a visible timer feature linked to parents’ phone to allow parent to set time until activity ends/they have to go.,3
3,Character Sticker Tracker,"A GPS tracking device that links to a parents’ smartphone, with little to no child interaction required. Could also monitor health – things like insulin levels for diabetic children.",3
3,Smart glasses/sunglasses,"A stylish pair of glasses or sunglasses that have a “panic” button, location tracking, and front-facing camera, for events like “stranger danger,” to see what the child is afraid of.",3
3,Smart Clothing,Clothes that monitor a child’s emotions and location and send information to parents about child’s mood.,3
3,Active Shoes,Kid’s shoes to track their physical activity throughout the day – step counting/rate. Can also include GPS monitoring.,3
3,Smart Backpack,"A backpack with a GPS tracking device that only is active when on the move. When stationary, the backpack stores the last location. Also tracks which books are inside to monitor child’s learning in school.",3
3,Interactive Journal,A children’s journal that prompts kids to write about their day or doodle. Saves work to the cloud.,3
3,HeroMi,"A superhero-style mask that allows the child to record video and take photos, which is automatically uploaded to the cloud and can be viewed by someone with granted access on their smartphone or computer. The mask is flexible and can adjust to various head sizes and shapes.",3
3,2Loop,"A stretchable loop that can be worn as both a necklace and bracelet. Besides being an awesome fashion statement for kids, it has a GPS locater and photo-sensitive LED that turns on in the dark, allowing for easy visibility and safety",3
3,Fore!,"A flexible LCD touchscreen that is strapped to the forearm. It allows the user to create impromptu sketches on the go and can hold a number of mobile applications. Fore! can link up with other units and be used as a portable educational tool on field trips, where the teacher can ask the students to answer questions on their device as they walk around to search for answers.",3
3,Trackpack,"A modular backpack for children that can be customized with various compartments and safety features. LED lights, reflective patches, a location tracker, and miniature siren can be removed or installed as needed while extra pockets can be added for more storage. All of the safety features are integrated in a stylish and unassuming manner.",3
3,Impresser,"A name-tag-style, reusable LCD sticker that can be uploaded with a child’s critical information (eg. Name, phone number, dietary restrictions, medication, etc.) or other displayable text/images. The Impresser can be worn by the child in situations such as the first day of school or in new locations to quickly allow someone to take action in case the child is lost.",3
3,Digitoes,Children’s socks that are equipped with a location tracker and fitness sensor woven right in. The location tracker allows parents to determine where their child is while the fitness sensor can record the number of steps the child has taken during the day and how far they walked/ran. Both the tracker and the sensor are invisible to anyone who doesn’t know about the socks’ functionality and are seamlessly integrated.,3
3,ZooHug,"A miniature stuffed animal buddy that straps on to the upper arm. The ZooHug has an integrated pouch that can be used to hold small items without the need for an entire backpack. An audio clip, such as the parent saying “I love you!”, can be uploaded and played back. In addition, a built-in microphone allows the child to have a conversation with their parents (on their phones).",3
3,Wristalk,A watch that parents can send replayable messages to both for emotional comfort and to set audio reminders/instructions for the child. The watch can actually tell time and doubles as a cool fashion accessory for the child when not used to play messages.,3
3,Thinking Cap,"A baseball cap with e-ink that can change to different patterns with the push of a button. Patterns can be custom-created using separate software and uploaded to the hat. The hat’s pattern can be changed by RFID using a smartphone. For example, a teacher can change the hats of all the students to a specific pattern for easy identification during a field trip.",3
3,Lifesaver,"An easy-to-use ring that can be dipped into food and drink to check for potential allergens and health hazards. Children may not be as cautious as adults when it comes to looking out for their own fatal allergies, and this ring can save a life. It comes with a fun design that turns red if the food is not safe to eat and notifies a nearby supervisor via smartphone notifications",3
3,Teddy Care,GPS tracker that is shaped like teddy bear that kids will want to keep with them,3
3,Focus Band,Wearable that silences synced devices when you're close to your paired device,3
3,Travel Buddy,"Clothes for toys that have camera, dolls become friends with friend's dolls over time as they are played with",3
3,Play with me Doll,"Doll that gets happy or changes story as you touch it, handle it",3
3,Friendship ring,A ring for your kids that rewards them for spending time with each other - social condition,3
3,Interactive marbles,"Take old school marble toy into 21st century. Configure lights, sounds?",3
3,Talking bike,"When riding the bike, kid can change dial to change what kind of sounds it makes",3
3,Take me with you!,"Pair wearable x toy with parents, so kids stay with parents to get points",3
3,Excitement Pulse,Vibration on parents when kid is getting so excited they might run off,3
3,Team up!,Toys that behave differently when they are with each other (Legos -> different colors),3
3,TrackMe,a sticker like tracking device that is automatically turned on when detected phone died,3
3,Emotion sensor,a wearable watch that is able to track the emotion of child through heart beat or   other other physical data to check whether a child is going through emotional upheaval during school,3
3,StartStudy,a wearable bracelet that allows parent to set their children’s time on phone and electronic devices and lock their children’s devices when time is up,3
3,connect,a wearable watch for children that has a one button(click) voice communication between parents and children,3
3,Smart Pajamas,Clothing that will track child's movements during sleep and breathing and alert if something is wrong.,3
3,Child Proof-o-matic,"A child proofing sensor that will alert when the IoT device is in proximity with other potentially harmful devices like outlets, ovens, toasters, etc.",3
4,Pushing Jacket for NBA 2K series,A jacket with sensor and mechanism which could generate resistance when you interest with game such as basketball or football,4
4,Detachable Vibrating sensor(Sticky),A kind of vibrating sensor which could set-up onto different stuffs which suitable for different games,4
4,Heart rate sensor for Horror Game,A heart rate sensor which could feedback your heart rate to game and optimize horrible game ,4
4,GPS wrist band for hunting game,A band which track GPS location and feedback with game for hunting or locating,4
4,Interactive Pet raising,A touchable toy which connect to an app game that could control and interactive with children,4
4,3D projector which could interactive with children,A 3D projection which could generate 3D-image and interact with player,4
4,Electric Hot/Cold Vest,A wearable vest that could adjust temperature by electric heater based on game's scenario.,4
4,In game audio to text translator,A glass that could translate different language in your game context and help you understand it,4
4,Vibrating Leg/Arm Bands/Chest,A vibrating feedback when you play fighting game and make it harder and more real,4
4,Smelling hat,"A hat with tubes that go to your nose and deliver smells that match the game's scene when you play ""Cooking game""",4
4,Water-based Temperature Vest,A wearable vest that could adjust temperature by water based on game's scenario.,4
4,Vibrating Seat,Seat that vibrates with the game,4
4,Noise to Tactile Feedback Box,Converts noises from game into vibrations or shocks via bands. Eliminates need to integrate bands with the game.,4
4,Marketplace for used VR equipment,Connects gamers to cheaper VR options.,4
4,An App for VR Gaming Meetups,Brings the VR community together,4
4,VR Match,Service to setup tournaments for multilayer VR games,4
4,Vendor Agnostic VR tech support,One stop tech support for all popular VR devices,4
4,Hydraulic chair,Chair drops out slightly under you to simulate weightlessness corresponding to game.,4
4,Crouching Flex Sensor,Control your players crouch or standing position by doing it yourself,4
4,Arm extension sleeve - Flex Sensor,Arm extension movement could be used for a variety of commands,4
4,Fake throwable grenade,Grenade attached to tether with accelerometer inside. Tossing it commands player in game to throw grenade,4
4,Arm/Leg Shock Bands,When getting shot in a game small shocks would alert you.,4
4,Location Indicating Shock Array,"Array of small shock bands or patches that alert you of location of enemy. If getting shot from behind on your left, the patch over 
your back left shoulder would signal you.",4
4,Glasses with LEDs,Glasses with LEDs that would shine and slightly blind you when a flash bang goes off. Or if driving into headlights.,4
4,Full room synced Lighting System,Lighting system that syncs up to the current scene in the game,4
4,Synced Fans ,Fans that blow wind on you if it is windy in the game,4
4,Constricting Arm/Leg Bands,"Bands that squeeze you for feedback when crashing or getting shot, etc.",4
4,Leg Band Accelerometers,Tracks speed of running in place which controls the speed of player in game,4
4,Vr Boardgames,vr board games for no additional cost glasses/ heads up display,4
4,Game renting,game renting and sharing system,4
4,humans of new york,enhancing storyline by involving real life characters,4
4,Gaming gloves,gaming gloves to enhance mobile phone gaming experience,4
4,winning experience,enhance the winning experience by making it more personal,4
4,gaming charity,gaming reward points can be converted into something you do charity with,4
4,gaming arcade,install a gaming arcade on campus for distressing,4
4,exciting phones,"hand device that changes temperature, vibrates, etc while playing phone games",4
4,temp clothes,auto heating clothes after workout,4
4,posture corrector,posture correcting device,4
4,Beyond Jacket,A jacket which could have athletic functionality and record the user's athletic data.,4
4,Sensing heart ring,A ring which could monitor and record the heart rate when you are exercising in case accident.,4
4,Safety Biking Jacket,A Jacket with LED light which could show the direction which biker want to go.,4
4,Sport mission app,An app which has mission every day encourage people to do exercise and when you meet the requirement it would give you coupon to buy stuffs.,4
4,Temp Adjusted Jacket,A jacket with thermoelectric materials which could keep warm or cool when you running,4
4,Running Navigation,A wireless ear pod or an app which could navigate when you running and introduce the hot spot.,4
4,Fitting Coach,An augmented app which could help you correct the posture for lifting or fitness ,4
4,Tracking Shoes,A shoes with GPS tracking to log their position for extreme player who likes to go hiking or ski in case some accident happening,4
4,Solar Jacket/Backpack,A flexible solar panel which sets up on your jacket or backpack and charge the battery for adventure who like go hiking or camping.,4
4,Travel Guiding Glass,A glass with augmented reality device (like google glass) which could show the information of torusites or direction of trip. ,4
4,Lifting Form Sleeve,Sleeve with flex sensors that can detect form at elbow and knee joints,4
4,Balance/Tilt Platform,An app game integrated balance platform for controlling a tilt based game on your phone. Could be used outside,4
4,Hiking Challenge App,"An app that sets challenges for nearby hikes, such as hike to top of Grizzly Peak in X amount of time. Use wearables to track.",4
4,Photo Mission App,Sends you on missions throughout town where you must take a photo of certain items to gain credit.,4
4,Dog Walking Exercise App,"Similar to photo mission app but you must bring your dog, may take you by places with other dog owners.",4
4,Proximity Wearable for Pets,A wearable for pets that detects their proximity and location relative to the owner in case they get lost during walks.,4
4,RFID-Based Checkpoint Run,Have a system of RFIDs set up on a running course and you must complete the track. Can have challenges for different sections of the run.,4
4,Biking Challenge App,Similar to hiking challenge app but focused on cyclists.,4
4,"Meetup App for Parents
with Strollers",Connects fellow parents that are going on walks with their kids in strollers.,4
4,Running Speaker,A device for canceling panting noise while runner talking on phone ,4
4,Ask jog,Earn money while jogging by answering survey questions,4
4,Music tap,Using finger senses to change music,4
4,jog too impress,Augmented celebrity on band- providing motivation,4
4,earn while you run,Device that helps you advertise while you are running,4
4,running adventure,making running a part of an adventure game,4
4,vr outdoor game,virtual ball game- multi player- hand tracking,4
4,money intensive,"if you finish your exercise, money will double or else you lose",4
4,auto stroller,"automated stroller that tracks babies movements, sound, sleep cycle, etc.",4
4,vr opponent,virtual opponent for outdoor games,4
4,life is a game,make real life a game where you can get points for everything you do.,4
4,poke save,something to reduce accidents while playing Pokemon go,4
4,driving adventure,driving glasses with heads up display making it more adventurous,4
5,Solution Service,"Instead of software, provide customers solutions to make work easier. In this, the customer outsources the problem.",5
5,Add on to CAD,"Add on to CAD software so, work can be done in a click and on one platform",5
5,Training Service,Provide training service after the customer purchases the software,5
5,Component Recognition,Recognize model of components by scanning and automatically import data,5
5,VR Interface,Make a VR interface so that users could operate easily by gestures and view true 3D attributes,5
5,Hand Drawing Diagram,Design control system diagram by hand with a wireless stylus.,5
5,Integrated Simulation Environment,"After CAD modeling, translate the constraint information into different kinds of boundary conditions in only one integrated software. It has CAD+Control+Simulation features in one single new software",5
5,Cloud Computing,Upload local files to the cloud to do computing work. (i.e. translating information from CAD to control),5
5,Hardware-In-the-Loop Simulation,Test hardware like PCBs in real-time simulation software before the whole product assembled.,5
5,Real-Time Rendering,Show the simulation results by real-time rendering. (translating information from control environment to CAD),5
5,Command Line based software,A very basic command line software (based on C/C++) which has pre defined commands for mechanical and control elements in libraries,5
5,Tailor made software for industries,Industry-wise packages having elements and libraries loaded for the specific industries only.,5
5,Open Source platform,To develop a framework and engine based on which developers around the world can generate packages and libraries,5
5,Independent software,"Create an independent software that can import standard CAD file, solve and give output in form of final FMU which can be imported by any control software.",5
5,Excel sheet ,Create an excel sheet which does all the calculation - each complex system will have independent package. Input info form CAD file will give output in terms of control information. This info can be used for further design in control software,5
5,Adding Control and Simulation features to existing CAD,CAD is a fully developed software environment. Addition of control and simulation features will make it a complete package for design of any type of system.,5
5,Release both open source and commercial versions,"Release different versions of the product for both individual developers and companies. Students and individual developers can get free open source version, but companies need to buy commercial version for business using as well as more functions.",5
5,Release relevant hardware,Work with National Instruments to release some new kinds of hardware that is specially modified for the software.,5
