Team member,Concept Name,Description,
,Posture-Ometer,"Sensors attached to the back that will ping if the user is hunching over. Preventative measure to use after procedure to ensure secondary fractures aren't happening and if they are, they can be caught earlier.",Patient Therapy
,Travel Back,Back support while travelling,Braces
,Back Again,Back brace that mimics support and movement of spine so that surgery is not neccessary,Braces
,De-Compression Back Brace,Non-surgical treatment to decompress vertebrae using a brace,Braces
,The Brace Backpack,An inconspicuous brace that functions as a small backpack to alleviate the pressure on a compression fracture.,Braces
,Electronic exoskeleton,An exoskeleton designed to facilitate body movements while re-distributing load away from the fracture site,Braces
,The Bubble Buddy,A vest you wear to support your upper body. Bubbles out for added support (using an app) at the troubled spot of the spine.,Braces
,Straighten Up!,"Similar to the Bubble Buddy, a vest that helps support the user's upper body, keeping them from hunching over (which usually furthers the issues/pain). Could also be worn week sprior to surgery so balloon kyphoplasty not needed and can just do vertebroplasty)",Braces
,Standy-By,A support while you are standing. A lot of people suffering from back pain are suggested to stand while working which is tiring to do. Hence a support along which they can stand straight will be helpful,Braces
,Keep Straight Brace,A supportive brace to help the user maintain a proper posture (prior to spinal fractures).,Fracture Prevention
,Diet & excersize,A diet and excersize routine to promote bone remodeling & muscle strength (important for spine stability),Fracture Prevention
,Got Milk/ Osteoperosis Campaign,Osteoperosis is actually a pediatric disease so encouraging more calcium while young will help reduce the severity of osteoperosis.,Fracture Prevention
,Compression Shirt,A spandex shirt that will create additional back support for everyday activities to prevent repetitive stress on the vertebra.,Fracture Prevention
,Core focused activities for Seniors,"An exercise class, most likely conducted at senior centers, to strengthen senior's cores. This preventative measure would negate the degenerative effects of aging and weight on the spinal column to resist spinal compression fractures.",Fracture Prevention
,Education for those not seeking treatment,A marketing campaign designed to inform the 2/3 of compression fracture patients who do not seek medical attention about treatment opportunities,Getting Treatment
,Table-saw' type needle,"A needle which senses the tissue type it encouters, disabled from piercing certain tissues (e.g. spinal cord)",Preventing Surgical Complications
,Drilling out a uniform space to fill in cement,"If the fracture is such that it is spreadout and might be difficult for the cement to get into all the small air spaces, we could drill out some more bone material to creat a uniform space in which the cement could be filled",Preventing Surgical Complications
