Member,Concept Name,Description,Category
2,Underwater Spidy,"The robot has multiple holes in his body from which cables can be launched to suck onto external objects such as a rock, and the robot then winches the cable. While doing that, the robot propels himself forward.",Movement
2,The Gripper,"A worker robot that has two grippers. Potentially, it can hold onto the torch for welding to help welders to work under the water. It can also help scientists to take samples easily.",Special Usage
2,""" fish farmer""","A robot that attracts large fish body, and captures them with a net and drag them to a nearby fishboat",farming
2,Underwater  tourist capsule,The robot traps breathable air inside and is only suitable for a single person. It has a transparent glass that allows the tourist to view the beautiful underwater scenery. It is also controllable by the tourist.,Tourism
2,Underwater mermaid tail,"A robotic tail that attaches onto a diver, so he/she can move as agile as a fish",Movement
2,Underwater diving machine,a diver can grab onto this machine and this machine can go quickly down the water. Thus diving can be made simple,Tourism
2,Underwater cleaner,"a robot that can recognize foreign object/ trash, and it will remove it out of the sea",Special Usage
2,autonomous explorer,"a super long range robot that tries to find gold, sunken ships, oil or any valuables autonomously",Game
2,underwater rescuer,"a robot that is equipped with drills, torch, blades that cut through anything to rescue trapped fish or human",Special Usage
2,Underwater builder,"human construction workers would have a hard time working under the water, but robots can do the job., so we can build houses under the water",Special Usage
2,Underwater energy farmer,A robot that can farm solar energy and current energy at the same time and send this energy to human in the land,Energy farming
2,Underwater seaweed farmer,an autonomous robot that farms seaweed automatically and harvest it for humans,Farming
3,Rubber seal ring,The rubber seal ring is used to fully seal the fuselage when the cap is added on (waterproof).,Outlook design
3,Package,"The package consists of camera lens, light, gripper, and so on for users to build the vehicle as they want (customization).",Package
3,Bladder,The bladder will open and be blown up automatically to drag the vehicle to the surface of water if it runs out of power.,Attachments
3,Round edge,No sharp edge of the vehicle's outshape design to keep safe underwater when divers are using it to record videos.,Outlook design
3,Following function,"The vehicle will follow divers underwater by wirelessly connected to the watch they wear, which is used to take good videos for divers.",Controller
3,Constant temperature system,The constant temperature system is used to maintain constant temperature for the electronic devices to work well in extreme environment.,Attachments
3,Automatic recharger,The vehicle will automatically go to recharger under boat to do recharging when running out power.,Recharger
3,Infrared obstacle avoidance system,The infrared obstacle avoidance system uses infrared sensor to help the vehicle avoid rocks or other obstacles underwater.,Object avoidance
3,Two thrusters mounted,"Two thrusters are mounted symmetrically on the tail of the torpedo-shape fuselage of the vehicle to perform translational movement, which will induce less turbulence that affects the forward movement.",Outlook design
3,Vehicle control console,The hand-held vehicle control console is used to wirelessly control the vehicle underwater (bluetooth control).,Controller
3,Soil sample collector,The gripper of the vehicle can collect the soil sample underwater for marine biologist to study.,Attachments
3,Micro camera releaser,The releaser installed on the vehicle will release micro cameras that will be swallowed by whales at the right moment for marine biologist to study the  digestion processes of whales.,Attachments
3,Fish food spreading machine,The fish food spreading machine can attract the fish to the boat on the surface of water by spreading fish food simultaneously,Attachments
3,Underwater thermal detector,"The underwater thermal detector installed on the vehicle will detect and record the temperature wherever the vehicle goes, and plot the temperature contour automatically.",Attachments
3,Oxygen generator,The oxygen generator will consistently generate oxygen for divers when the vehicle is following them.,Attachments
3,Auto-cleaner and dryer accessory,The vehicle can be cleaned and dried automatically in an additional accessory after being taken out of water.,Attachments
3,Five colors of outlook,"The outlook of the vehicle will be designed into five different colors, such as silver, gold, rose gold, black, and jet black to satisfy different color preferences of users.",Outlook design
3,Fast charging,The battery of the vehicle is designed to be fast charging to save more time.,Battery
3,Bionic ultrasonic emitter,The bionic ultrasonic emitter installed on the vehicle will emit ultrasonic of dolphins to help them mate.,Attachments
3,Floating garbage salvage device,The floating garbage salvage device will collect the floating garbage on the surface of the water for people.,Attachments
4,Autonomous back,The S2UV can autonomously find its way back even when communication fails.,Movement
4,Elements bracket,The vehicle can have brackets for various things to be attached,Attachments
4,PS4 controller,The vehicle can be controlled by a PS4 controller,Controller
4,S2UV Camera Bracket,The vehicle can have brackets like GoPros for cameras,Attachments
4,Remote Watch,A smartwatch could be paired with the vehicle that can control it when the user is underwater.,Controller
4,S2UV storage,A box to carrying the S2UV and equipment,Package
4,Wireless Charger,The vehicle could have wireless charging like phones. It could have a little stand that holds the vehicle and charges it.,Recharger
4,S2UV Glasses,VR could be used with the camera,Controller
4,Big Fish detector,The device could detect and escape big fish that seem like they are going to attach the vehicle. It will avoid danger,Object avoidance
4,Ballast space,"In order to be stable and change the depth of the vehicle, the S2UV could have ballast tanks like submarines to release air and change the buoyancy",Movement
