Member,Concept Title,Description,cluster
,Perpendicular Carpet,Same concept as above but the carpet is placed perpendicular to wave direction. This gives larger output but requires more maintenance.,Reliable and Continuous Power Source;Environmentally Friendly;Scalable;Cheap and Easy to Set up;Easy to Incorporate in Existing Electricity Grid;
,Segregated Carpet,The carpet is segregated into pieces connected together allowing for larger area coverage,Reliable and Continuous Power Source;Environmentally Friendly;Scalable;Cheap and Easy to Set up;Easy to Incorporate in Existing Electricity Grid;
,Magnetic Generation,The prototype will have a magnet in the middle. The waves will compress and stretch the magnet which will create a magnetic flux,Reliable and Continuous Power Source;Scalable;Easy to Incorporate in Existing Electricity Grid;
,Floating Pressure Differential,The concept uses the pressure differential above the device between the wave crests and troughs to generate electricity,Reliable and Continuous Power Source;Environmentally Friendly;Cheap and Easy to Set up;Easy to Incorporate in Existing Electricity Grid;
,Fish Repellent,"As fish and other marine animals use sonar to communicate, a broadcaster could be used to repel these marine animals",Environmentally Friendly;Cheap and Easy to Set up;
,Wave Fan,Similar working as a wind turbine,Easy to Incorporate in Existing Electricity Grid;
,Overtopping Device,The Overtopping device captures waves in a reservoir and uses them to run a turbine,Reliable and Continuous Power Source;Scalable;Easy to Incorporate in Existing Electricity Grid;
,Floating Oscillating Generator,The waves will enter a small hole and run through a turbine generating electricity,Environmentally Friendly;Cheap and Easy to Set up;Easy to Incorporate in Existing Electricity Grid;
,Wave Compressor,The prototype will have an air turbine. The waves will compress the air passing it through a turbine.,Reliable and Continuous Power Source;Scalable;Easy to Incorporate in Existing Electricity Grid;
,Wave Actuator,Attach actuators to change the shape of the wave carpet as the wave frequency changes,Scalable;Cheap and Easy to Set up;
,Wave Flaps,Attach flaps to change the shape of the wave carpet as the wave frequency changes,Reliable and Continuous Power Source;Scalable;Cheap and Easy to Set up;
,Stainless Steel Reinforcements,Steel beams to provide reinforcement to the wave carpet in case of a natural disaster,Reliable and Continuous Power Source;Environmentally Friendly;Easy to Incorporate in Existing Electricity Grid;
,Emergency Lever,A lever that collapses wave carpet into a compact box during a disaster,Reliable and Continuous Power Source;
,Bedazzled Rubber,Rubber material with designs to repel fish,Reliable and Continuous Power Source;Environmentally Friendly;Cheap and Easy to Set up;Easy to Incorporate in Existing Electricity Grid;
,Motion Sensor,Detachable sensors that monitor motion of the carpet,Easy to Incorporate in Existing Electricity Grid;
,Suction Cups,Attachment for carpet to the sea floor,Reliable and Continuous Power Source;Scalable;Easy to Incorporate in Existing Electricity Grid;
,Biodegradable Netting,Netting made out of biodegradable material to cover the wave carpet to prevent FOD near the carpet,Reliable and Continuous Power Source;Environmentally Friendly;Cheap and Easy to Set up;
,GPS,Build in GPS system so it can be located easily,Environmentally Friendly;Cheap and Easy to Set up;
,Alarm,Motion detector alarm is attached to the wave carpet which sounds up when marine animals come close to scare them off,Reliable and Continuous Power Source;
,Camera,A camera can be installed to monitor the condition of the wave carpet,Reliable and Continuous Power Source;Easy to Incorporate in Existing Electricity Grid;
,Wave Carpet with Propellers,Propellers are attached to the wave carpet to generate waves when the water is stagnant,Reliable and Continuous Power Source;
,Hydrophobic Metal Coating,Hydrophobic anti coating to be brushed on all metal surfaces of the wave carpet that come into contact with water,Easy to Incorporate in Existing Electricity Grid;
,Synthetic Rubber Mat,"Synthetic rubber mat, as opposed to natural rubber",Environmentally Friendly;Cheap and Easy to Set up;Easy to Incorporate in Existing Electricity Grid;
,Shock Absorbers,Absorbers to be placed under wave carpet platforms to ensure they remain stationary,Reliable and Continuous Power Source;
,Light,Built in light that turns on to make maintenance easier,Cheap and Easy to Set up;
,Attachable oxygen tanks,Facilitate creation of an artificial reef,Environmentally Friendly;
,Retractable wheels,Allows wave carpet to move across ocean floor,Scalable;
