member,Concept Title,Description,cluster
,Cool Tech,"Kind of like UNIQLO Heat Tech, this kind of clothing keeps the body cool.",Colling Systems;
,Cooling Water Helmet,"Using a water heat exchanger, a helmet that can be worn is filled with cool water to keep the head cool.",Colling Systems;
,screen eyes,"the eyes of the character are actually LED screens displaying an eye, moving around and blinking",Facial expressions;
,water for performer,a water reserve placed in an isothermic container on the back of the performer. A small pipr near his mouth allows him to sip water easily wile in the suit,Health Improvements;
,moving neck,Allowing the neck of the suit to move indepedently from the rest of the suit by detaching it from the body (rolling ball bearing),Body Frame;
,speaking characters,"small loudspeakers located at the beginning of the character's mouth/throat, so as to make it speak in a lively manner",Facial expressions;
,icy ventilation,"small fans in the hear gear, with a small ""ice pack"" to locally cool the air and blow the cooler air",Colling Systems;
,iron man backpack,all the head actuators can actually be detached from the suit and fold themselves in a backpack the performer is wearing,Body Frame;
,blush,"small red LED behind cheeks, so that the character can actually blush. There are some sensors of the cheeks to actually detect a kiss from a guest",Facial expressions;
,live performer monitor,the suit has thermal probes that can be applied on the performer's body to check his body temperature. a small red light goes on if it's becoming dangerous,Health Improvements;
,exo performer,"An exo-squeletton like dispositive to help the performer move the suit around, compensating for its weight. It mainly helps arms and leg movement",Health Improvements;
,cloth offset,"a light structure around the performer's limbs, so that the suit is not directly in contact with the performer's skin, to thus make the suit less hot ",Colling Systems;
,Geared Eyebrows,The two eyebrows are connected by a pair number of gears. One of them is actuated by a servomotor. thus both eyebrows will move at the same time,Facial expressions;
,Lifted eyebrows,"Both eyebrows are connected together, and a string links the ensemble to a servomotor at the back of the head, allowing the ensemble the move up and down all at once",Facial expressions;
,Fattening device,"The frame of the suit is made with a rigid plastic that  keeps the form of the character's belly, a fat one, allowing the character to look fat from the outside without having to fill the suit with foam.",Body Frame;
,Battery indicator,"A little light is placed by the performer's eyes, turning red when the battery of the actuators is low and the suit needs to be recharged",Body Frame;
,SOS Button,"a button on the waist of the performer, that can be pulleb from the outside of the suit. the button is connected to the character attendant, and when pressed it alerts him that the performer is not feeling right and needs to go backstage to take off the suit",Health Improvements;
,External plug,"An electrical plug dissimulated in the fur, allowing the suit to be recharged without having to remove the fur. ",Body Frame;
,Fake shoes,"flat shoes with a snickers-like structure, to improve the comfort of the performer. The surrounding/exterior aspect of the shoe is, however, shaped according to the character. Thus, for example, a performerin a female character's suit won't actually have to wear high heels",Body Frame;
,External microphone,a series of microphones placed into the nose of the character and in its ears to catch the surrounding conversations. The conversations are transmitted to earphones so that the performer can actually hear the guests talking to him,Health Improvements;
,Light sensor,"a sensor placed on the nose or the forehead of the character, detecting the luminosity of the surroundings to adjust the image the performer is seeing, providing him the best image possible in any circumstance/venue",Health Improvements;
,Lip reader,"A small camera placed inside the suit, and directed towards the performer's lips. The camera analyses the lip motion of the performer and litteraly reads it, before providing the information to an exterior loudspeaker reproducing the voice of the character.",Facial Detection;
,Peltier Cooling Collar,"A device that we can wear on neck using Peltier effect: let electricity through and transfer the heat from one material to another",Colling Systems;
,Borescope Eyes,Use thin-clothes covered borescopeon the eyes of character as camera,Facial Detection;
,In costume ice bag,Have ice bags in the costume frameto absorb heat from person inside,Colling Systems;
,Snapchat facial sensor,Use the data from snapchat as input to control facial expressionof costume,Facial Detection;
,Hexagon frame,Use hexagon structure as frameof costume to decrease weightand increase air fluency ,Colling Systems;
,Vision system,Connect camera to VR mediaheadset to provide better vision,Facial Detection;
,Surrounding cooling system,Have pipes with cooling fluid surround user_s wrist and ankle toabsorb heat ,Colling Systems;
,Remote controlling expression,Have pre-defined facial expressionsets and switch by controller,Facial expressions;
,Phone speaker,Use phone and magnifier to transfer user_s voice to guest,Facial expressions;
,Camera eye sensor,Use light reflection signal to computegazing point of eyes and output movement of eyes,Facial Detection;
,Wheel Shoes,Have wheels with spring-switch on the foot of costume,Body Frame;
,Cooling medicine,Medicine dropper to cool user down,Health Improvements;
,bubble film protector,Have bubble film under costume's skin to avoid injury,Health Improvements;
,air bully,use air(Hydrogen) filled bag as character's bully,Health Improvements;
,mouth fan,have fan and mist hidden in mouth of character in order to fresh the air,Colling Systems;
,belt frame,"belt shaped circular plastic frame that surrounds the bully of character, distributing load on the wrist of perfrmer",Body Frame;
,inner seat,"extending from the belt frame. form a inner plat form, allow performer to sit on it or put backpack on",Body Frame;
,hidden speaker,have hidden speaker on the field where the character acts and play pre-recorded voice of cahracter,Facial expressions;
,ballon cheek,have cheeks as shaped ballons. control amount of air to raise and lower cheek,Facial expressions;
,Light sensor,to be companied with LED eyes. sensoring light strength and tune the lightness of LED screen,
,Sun glasses,"Make the character's eyes in a kind of sun glass, allowing the performer to see through them",Health Improvements;
,Botox is top,"make the cheeks of the character in silicone or rubber, to make their movement easier andmore credible",Facial expressions;
,Rubber eyebrows,"Make the eyebrows out of rubber, and at their core place a multi-piece mechanical arm that can make it move in several directions",Facial expressions;
,Rubber lips,"The lips of the character are made out of rubber, and a linear succession of actuators is places in the ""gums"" of the character, to make them move.",Facial expressions;
,Corner of the mouth smiling,"The corner of the character's mouth is actually sewed on as a continuation of the character's mouth. Behind, actuators are linked to these ""corner of the mouth"", pulling them up and down to convey the impression that the character is smiling or sad.",Facial expressions;
,Robot hand,"The hands of the character are semi-robotic ones, linked to the performer's hands. This is made so as to convert the 5-fingers movements of the performer in the 4-fingers movement of the character. For this, some strings are attached to four of the performer's fingers to move the character's ones",Body Frame;
,Detection watch,This detection watch is to track the heart rate of the performer and some other physical characters to judge whether the performer is in a good condition or whether he/she should be replaced by other performers,Health Improvements;
,The log chair,"Theme parks can put many big logs along the route the characters take, so the performers wearing big costumes can sit on them to take a rest. And in the log chair, there is a cooling system which can take away heat from the performer.",Health Improvements;
,Movable jaw,"Make a jaw using plastic plates. It can be connected to the head frame by some springs. The performer put his/her jaw on the plate.When he/she moves his/her own jaw, the character's jaw moves.",Facial expressions;Body Frame;
,Stronger receiver,"Since the costume is very thick, and may hinder the performer hearing the guest clearly. The strong receiver mounted on the ear of the character can make the performer hear outside world clearly.ÿ",Body Frame;
,Facial Expression Detectable Costume,"There exists a detection scheme mounted in the head of the animatronic character, which can detect the facial expressions of the performer and these data can be used for making the character_s face take on the same animated facial features. For example, the performer in this costume smiles, the character smiles; the performer moves his/her eyes from left to right, the character does the same thing.",Facial Detection;
,Invisible Camera Costume,"The re-designed costume using the mini camera mounted on the forehead of costume head, which is hidden well, just like it is invisible. Compared with traditional costumes, the hidden camera with other devices,  can provide the performer inside the suit with a wider range of vision. Therefore, the operator or the performer is less likely to fall down due to the bad vision.",Body Frame;
,Plastic frame,"To make a big belly for the character like a bear, and meanwhile make sure that the costume is not so heavy, we can use the plastic strips to construct a frame and then attach it to the fuzzy clothes.",Body Frame;
,Mini backpack,"In the spare room of the costume, the performer can take aÿmini backpack which contains a cooling bag. The materials can be ices or chemical stuffs. Just to take away the heat of performers.",Colling Systems;
,Voice Box,"An amplifier hidden behind the tie of the character, which can make the sound of the character louder. And another sound modifier to make the voice like the original one in the cartoon.",Body Frame;
,Cooling e-scarf,Performers wear the scarf to cool the part near the neck. The e-scarf functions as a mini air conditioner.,Colling Systems;
,Sun-glass Eye,Use the sun glass (dark but transparent) to make eyes of the character. The performer will see outside through it.,Body Frame;
,Air tube,"Air tube hidden in the big ear of the character helps the ventilation, providing the fresh air.",Health Improvements;
,High five ventilation,"There is a sensor in the hand. When the character claps hands or high five with guests, the sensor receives the signal to actuate the ventilation system. Then the performer can breathe well.",Health Improvements;
,Happy eyeglasses,"When it is overcast, people may feel upset. The performer may lose the passion to take on so many animated features or frequenly interact with guests. While the happy eyeglasses can just make the views the performer sees brighter, like under the sunshine, to make him/her happier and more positive. (The mechanism is like the filter in the camera)",Body Frame;
,Wide belt trough,"Above the hip, performer wears a wide belt. The belt is made like a trough. Ice bags and some remote controller can be placed here.",Body Frame;
,Belly door,The switch on the arm can open the belly of the character. Other workers can replenish some ice bags on the trough belt or just help the performer ventilate temporarily.,Colling Systems;Health Improvements;
,Wheel shoes,"There exists a wheel in the shoe, but it cannot be perceived in normal situation. When the performer is tired, he/she can press the shoes hard against the ground to take the wheels out by utilizing the spring. Then the performer feels like wearing a pair of roller skates.",Body Frame;
,Hip belt,"The belt connects the upper body and the lower part. And it is fixed around the hip, so te weight of the costume can be shared by the hip, rather than shoulders alone.",Body Frame;
,Pants tube,"Some air tubes with holes, attached to the ""pants"" of the character helps ventilation in the lower part of the costume. There shouldÿbe a gap between pants and shoesÿ.",Colling Systems;Health Improvements;
,Shoe switch,"When the character pose some gestures, he/she press the switch of the pump hard, which is mounted on the heel of shoes. The pump suctions some cool air from outside by the pants tube.",Body Frame;
,informative glass ,"The glass can be transparent or not. The performance can see through the glass when they want to, or choose to look at the screen on the glass that shows the surrounding outside of the costume",Health Improvements;
,finger touchpad,Sticky pad on the fingers allows the costume to pick up things ,Body Frame;
,movable truss,A supporting truss system that allows people to sit down ,Body Frame;
,earphone ,Allows user to communicate with outside ,Colling Systems;
,cooling/heating pads,This pads not only cool/warm the performance also cool/warm the guests,Colling Systems;
,Rapid cooling pad ,Maintain moderate temperature environment inside the costume,Colling Systems;
,Dissipating fan,Remove heat from the body,Colling Systems;
,camera,"An add-on for the costume which can record the number of tourists&interaction made by the guests, so to provide valuable information for future improvement",Facial Detection;
,eye sensor ,"Capture the facial expression, analyze customers' reaction",Facial expressions;Facial Detection;
,GPS tracking mechanism ,Tracks the position of the costume,Health Improvements;
,Sound animation,An speaker and sound converter that convert the human voice to animated voice,Facial Detection;
,Tail mechanism,"Allows the tail to move as the mood/music in the theme park, and provides extra balancing torque to the body frame",Body Frame;
,Ear mechanism ,Allows the ear to move as the mood of the performers/music in the theme park,Body Frame;
,Information system,"Gather the guest information in the park and calculate the most crowded spots, so to allocate the positions of the performers",Health Improvements;
,Wrinkle,Utilize rubber/fabric to create wrinkle on the character's face so to make the facial expression more vivid,Facial expressions;
,Inflatable belly ,The belly of the character can be inflated and deflated,Body Frame;
,Automatic arm movement ,The arm can move automatically while the operator is in emergency,Body Frame;
,Emergency call button,"When the operator is in emergency, he can press the button and call centralized service",Health Improvements;
,Removable clothes,The clothes is removable and washable ,Health Improvements;
,Rear view camera,"Provide real time view at the back of the costume, because sometimes the costume is pretty big which makes the performer hard to see what's in the back ",Health Improvements;
