index,Concept Name,Concpet Description,Human Label,Machine Label
64,fully covered 2 wheeler,fully covered 2 wheeler to protect from the rain  pollution,new vehicle shapes/forms,ride;riders
65,music car,learn and play instruments like guitar hero,use cases,car;cars
66,the linkedin car,using ride shares to network professionally,use cases,car;cars
67,the escape car,do an escape game using vr during a ride,use cases,car;cars
68,karaoke car,have an onboard karaoke system,use cases,car;cars
69,planetarium,have the roof of the car completely transparent on clear starry nights for a mesmerizing experience,use cases,car;cars
70,workout car,workout during your ride,use cases,car;cars
71,rotating chairs,car seats that can rotate to different orientations to let everyone get their cockpit feeling,use cases,car;cars
72,attachable disco rvs,drive into a disco rv dealership and drive out with a disco rv attached to your car for your own private party experience,use cases,car;cars
73,cav van carpools,high volume cav carpools between popular destinations eg downtown to sfo,commute / peak management,cav;buses
74,car seats's snesor,the sensor can  display your weight and  body temp everytime you sit on,interior design ,car;cars
75,tv re arrangement,ppl can lay down inside the car and watch tv in forint of them,interior design ,car;cars
76,cav interior design,without a driver in fully autonomous cars the interior of the car can be completely redesigned lots of opportunities,interior design ,car;cars
77,rotating chairs,car seats that can turn around and face each other to facilitate meetings,interior design ,car;cars
78,sleepwell: sleep accessories in the car,you can sleep well in the car before or after work this enables you to have the ultimate calm in your car,interior design ,car;cars
79,workpro: professional working table for business people,autonomous vehicle can drive to the destination itself so we change the interior design of the car to include a professional office space,interior design ,car;cars
80,the purpose instead of the address   reducting miles travelled,when a zone is congested the cav asks what the rider wants to do in order to suggest the most relevant places nearby to drive him to,optimizing efficiency,cav;buses
81,dedicated cav routes,a schedule of cav routes targeting hightraffic locations,optimizing efficiency,cav;buses
82,moving silent disco,set up cav vans at music festivals to transport festival goers reconfigure the inside space as a silent disco ,use cases,cav;buses
83,driving movie theater,for ling road trips set up a cav as a home theater big screens popcorn etc,use cases,cav;buses
