index,Concept Name,Concpet Description,Human Label,Machine Label
47,private cav rentals,private cav owners can lease out their vehicles when they are not in use so that they have a stream of revenue coming in,pricing & cost,cav;benefits
48,cav insurance write off program,increase incentve to purchase cavs due to the improved safety on the road,pricing & cost,cav;benefits
49,car seats's snesor,the sensor can  display your weight and  body temp everytime you sit on,interior design ,car;seats
50,rotating chairs,car seats that can turn around and face each other to facilitate meetings,interior design ,car;seats
51,window car,cav that us akk windows can use it for sightseeing in a scenic area like yosemite park,new vehicle shapes/forms,cav;car
52,telescoping car expansion,cav vans thatt can expand as eeded to accomaodate larger groups of riders similar to camping trailer with popout extension,new vehicle shapes/forms,cav;car
53,remote control cars,cars would be remotely delivered from adriver hub located elsewhere like an it park,transition to av,cars;vehicles
54,activity connection,see the similar activities  hobbies interest other riders around you have decide on the best club or restaurant around,commute / peak management,riders;tourists
55,landscape detector,sensors on the road condition surface traffic,safety & health,battery;pickup
56,cav interior design,without a driver in fully autonomous cars the interior of the car can be completely redesigned lots of opportunities,interior design ,car;cars
57,sleepwell: sleep accessories in the car,you can sleep well in the car before or after work this enables you to have the ultimate calm in your car,interior design ,car;cars
58,workpro: professional working table for business people,autonomous vehicle can drive to the destination itself so we change the interior design of the car to include a professional office space,interior design ,car;cars
59,traffic lights,car can communicate the traffic lights by itself,infrastructure planning,car;seats
60,fully covered 2 wheeler,fully covered 2 wheeler to protect from the rain  pollution,new vehicle shapes/forms,
61,commute management,a twohour window for commuting riders will be matched with a commute time within this window agreed upon by the company which recieves benefits from the city cheaper ride,commute / peak management,ride;riders
62,battery help!,emergency battery use in highway,infrastructure planning,battery;pickup
63,pick up & drop off points,pool riders gather in a 5minute perimeter from where they requested the ride they will be dropped within a  5 minutewalk from their final destination,optimizing efficiency,ride;riders
64,cav van carpools,high volume cav carpools between popular destinations eg downtown to sfo,commute / peak management,cav;vans
65,late night cav ride service,fill the need late night for increased driver supply to match the high demand,use cases,cav;car
66,cav pitches dates,cavs can be used for elevator pitchesspeed dating or as a first round interviewproper first date for longer rides,use cases,cav;car
67,dedicated cav routes,a schedule of cav routes targeting hightraffic locations,optimizing efficiency,cav;vans
68,cavs w  bathrooms,buses have bathrooms why not  add them to cavs proposed for carpool communting,interior design ,buses;roads
69,fair business model,transportation costs should not burden those who live further away membership instead of per ride model for remote communities,pricing & cost,vehicle;ride
70,bike friendly,selfdriving vehicles with bikes racks  vans balancing the distribution of dockless bikes in cities ,infrastructure planning,cars;vehicles
71,grab end go cars,urban bikesharing model but for cars,infrastructure planning,cars;vehicles
72,highway for connected cars,government create a nwely highway system exclusive for connected cars,infrastructure planning,cars;vehicles
73,driving movie theater,for ling road trips set up a cav as a home theater big screens popcorn etc,use cases,cav;lanes
74,high volune cav lane,cas can safely tailgate other cavs dedicate lanes for only cavs to do this,safety & health,cav;lanes
75,vr amusement,an amusement car with vr glasses connected to bluetooth can make augmented reality experiences based on street views from the moving car,kids,experiences;reality
76,road escalators,have roads moving instead of cars so we can have everyone go at the same speed,infrastructure planning,buses;roads
77,road escalators,have roads moving instead of cars so we can have everyone go at the same speed  ,infrastructure planning,buses;roads
78,world experience,get immersed into a different culture for a ride can make partnership with different tourism boards,use cases,ride;riders
79,just for you,completely personalize your riding experience to boost your good energy and vibes,use cases,ride;riders
80,virtual reality trip,displays different vr experiences on windows to emulate a trip in another terrain or planet,use cases,experiences;reality
81,streamlined cr,no need to see out of the front of the car anymore so make it as aero dynamic as possible,new vehicle shapes/forms,car;cars
82,front and baxk doors,doors can be added to front and back of the car for cavs,new vehicle shapes/forms,car;cars
83,style changing cars,can have standard interior and fit different exterioir to change the look and style of the car,new vehicle shapes/forms,car;cars
